ts,iso,side,price,qty,avgEntry,reason,pnlGross,fee,setup11TradeId
1685991600000,2023-06-05T19:00:00.000Z,LONG,25509.23,0.019585,28998.21,SL,-68.33,0.25,
1687355100000,2023-06-21T13:45:00.000Z,LONG,29282.58,0.012264,26481.37,TP,34.35,0.18,
1687364700000,2023-06-21T16:25:00.000Z,SHORT,30640,0.003380,27145.70,SL,-11.81,0.05,
1689619500000,2023-07-17T18:45:00.000Z,LONG,29675.72,0.001500,30763.34,S11_SL,-1.63,0.02,s11_1688337000000_30763
1692232800000,2023-08-17T00:40:00.000Z,LONG,28448,0.001286,29622.70,S11_SL,-1.51,0.02,s11_1690404300000_29622
1692308400000,2023-08-17T21:40:00.000Z,LONG,25188.01,0.014007,30093.64,SL,-68.71,0.18,
1697462700000,2023-10-16T13:25:00.000Z,LONG,29330.53,0.019154,26397.98,TP,56.17,0.28,
1698032700000,2023-10-23T03:45:00.000Z,SHORT,30663.31,0.015684,27236.02,SL,-53.75,0.24,
1698033300000,2023-10-23T03:55:00.000Z,LONG,30736.69,0.001359,28713.95,S11_TP,2.75,0.02,s11_1697605200000_28713
1698080700000,2023-10-23T17:05:00.000Z,LONG,31262.95,0.001116,29205.29,S11_TP,2.30,0.02,s11_1697772600000_29205
1701543900000,2023-12-02T19:05:00.000Z,LONG,39210.99,0.017746,35566.31,TP,64.68,0.35,
1701685800000,2023-12-04T10:30:00.000Z,LONG,41835.62,0.001372,39071.00,S11_TP,3.79,0.03,s11_1701544500000_39071
1701797100000,2023-12-05T17:25:00.000Z,LONG,43734.78,0.001008,40723.72,S11_TP,3.04,0.02,s11_1701653400000_40723
1704739200000,2024-01-08T18:40:00.000Z,LONG,46917.77,0.012314,42639.19,TP,52.69,0.29,
1705952400000,2024-01-22T19:40:00.000Z,SHORT,39559.89,0.003000,43956.55,TP,13.19,0.06,
1707447000000,2024-02-09T02:50:00.000Z,SHORT,46190.45,0.001035,41172.25,SL,-5.19,0.02,
1707502800000,2024-02-09T18:20:00.000Z,LONG,48126.09,0.019672,43730.45,TP,86.47,0.47,
1709572500000,2024-03-04T17:15:00.000Z,SHORT,66946.11,0.019131,59634.28,SL,-139.88,0.64,
1709573100000,2024-03-04T17:25:00.000Z,LONG,67314.43,0.006614,60938.10,TP,42.18,0.22,
1710142500000,2024-03-11T07:35:00.000Z,LONG,71245.96,0.016200,64681.17,TP,106.35,0.58,
1710890400000,2024-03-19T23:20:00.000Z,LONG,61681.09,0.019623,70211.41,SL,-167.39,0.61,
1711381500000,2024-03-25T15:45:00.000Z,LONG,69901.8,0.010171,63515.66,TP,64.95,0.36,
1714548000000,2024-05-01T07:20:00.000Z,SHORT,58197.91,0.011914,64692.70,TP,77.38,0.35,
1714548600000,2024-05-01T07:30:00.000Z,LONG,57576.07,0.019295,65446.14,SL,-151.85,0.56,
1714785900000,2024-05-04T01:25:00.000Z,LONG,63566.01,0.015286,57576.07,TP,91.56,0.49,
1716233400000,2024-05-20T19:30:00.000Z,SHORT,69837.21,0.006044,62181.04,SL,-46.27,0.21,
1716246900000,2024-05-20T23:15:00.000Z,LONG,70411.66,0.006214,63918.01,TP,40.35,0.22,
1719258300000,2024-06-24T19:45:00.000Z,SHORT,59680.41,0.001000,66326.94,TP,6.65,0.03,
1720082400000,2024-07-04T08:40:00.000Z,LONG,57678.59,0.014473,65776.48,SL,-117.20,0.42,
1721006100000,2024-07-15T01:15:00.000Z,LONG,61742.42,0.010324,55923.38,TP,60.08,0.32,
1721405400000,2024-07-19T16:10:00.000Z,SHORT,66158,0.003103,59034.08,SL,-22.10,0.10,
1722793200000,2024-08-04T17:40:00.000Z,LONG,57368,0.019459,65614.71,SL,-160.48,0.56,
1722838500000,2024-08-05T06:15:00.000Z,LONG,50894,0.018705,57835.99,SL,-129.85,0.48,
1722875100000,2024-08-05T16:25:00.000Z,LONG,55461.76,0.013400,50143.67,TP,71.26,0.37,
1723157400000,2024-08-08T22:50:00.000Z,LONG,61947.02,0.001000,55998.14,TP,5.95,0.03,
1724451900000,2024-08-23T22:25:00.000Z,LONG,64616.03,0.010687,58650.84,TP,63.75,0.35,
1725645600000,2024-09-06T18:00:00.000Z,SHORT,53802.01,0.019108,59826.10,TP,115.11,0.51,
1726705800000,2024-09-19T00:30:00.000Z,LONG,62284,0.015950,56613.92,TP,90.44,0.50,
1727370300000,2024-09-26T17:05:00.000Z,SHORT,65661.98,0.002000,58598.18,SL,-14.13,0.07,
1729000500000,2024-10-15T13:55:00.000Z,LONG,67658,0.008745,61432.24,TP,54.44,0.30,
1730228700000,2024-10-29T19:05:00.000Z,LONG,73480.33,0.001000,66624.01,TP,6.86,0.04,
1731205200000,2024-11-10T02:20:00.000Z,LONG,77224.47,0.003248,70166.01,TP,22.92,0.13,
1731237300000,2024-11-10T11:15:00.000Z,SHORT,79926,0.001000,71356.00,SL,-8.57,0.04,
1732303800000,2024-11-22T19:30:00.000Z,LONG,99521.87,0.007370,90458.77,TP,66.79,0.37,
1734369600000,2024-12-16T17:20:00.000Z,LONG,107007.99,0.008774,97264.14,TP,85.49,0.47,
1737141600000,2025-01-17T19:20:00.000Z,LONG,105650.01,0.019728,95995.04,TP,190.48,1.04,
1740468000000,2025-02-25T07:20:00.000Z,SHORT,89670,0.019435,99701.34,TP,194.96,0.87,
1740478800000,2025-02-25T10:20:00.000Z,LONG,87198.36,0.019641,99501.11,SL,-241.63,0.86,
1740933300000,2025-03-02T16:35:00.000Z,LONG,91611.9,0.015400,81518.53,TP,155.44,0.71,
1741618200000,2025-03-10T14:50:00.000Z,SHORT,79435.22,0.005800,88448.23,TP,52.28,0.23,
1743981600000,2025-04-06T23:20:00.000Z,SHORT,77287.57,0.004292,85996.52,TP,37.38,0.17,
1744007400000,2025-04-07T06:30:00.000Z,LONG,75386.05,0.019417,85840.81,SL,-203.00,0.73,
1744231800000,2025-04-09T20:50:00.000Z,LONG,82988.99,0.004483,75400.81,TP,34.02,0.19,
1745331000000,2025-04-22T14:10:00.000Z,LONG,90468.22,0.003000,82096.02,TP,25.12,0.14,
1745331000000,2025-04-22T14:10:00.000Z,SHORT,90468.22,0.012000,80635.75,SL,-117.99,0.54,
1746739200000,2025-05-08T21:20:00.000Z,LONG,103670.86,0.002506,94031.17,TP,24.16,0.13,
1752210300000,2025-07-11T05:05:00.000Z,LONG,117276,0.019940,106586.53,TP,213.15,1.17,
1752211800000,2025-07-11T05:30:00.000Z,SHORT,117826.9,0.009429,105127.99,SL,-119.74,0.56,
1760130900000,2025-10-10T21:15:00.000Z,SHORT,103975.26,0.019360,115657.53,TP,226.16,1.01,
1762273200000,2025-11-04T16:20:00.000Z,LONG,102598.94,0.019380,116859.29,SL,-276.36,0.99,
1762287300000,2025-11-04T20:15:00.000Z,SHORT,100195.78,0.010180,111438.48,TP,114.46,0.51,
1763327100000,2025-11-16T21:05:00.000Z,SHORT,93766.35,0.002921,104267.22,TP,30.67,0.14,
1763710200000,2025-11-21T07:30:00.000Z,LONG,83451.38,0.018683,96067.20,SL,-235.70,0.78,
1764180600000,2025-11-26T18:10:00.000Z,LONG,90050.57,0.001000,81699.83,TP,8.35,0.05,
1768401900000,2026-01-14T14:45:00.000Z,LONG,96599.99,0.019504,87777.51,TP,172.07,0.94,
1769739600000,2026-01-30T02:20:00.000Z,SHORT,81459.71,0.018666,90602.54,TP,170.66,0.76,
1770143100000,2026-02-03T18:25:00.000Z,LONG,74088.14,0.019930,84493.36,SL,-207.38,0.74,
1770322500000,2026-02-05T20:15:00.000Z,LONG,64271.32,0.018817,73886.71,SL,-180.93,0.60,
1770385500000,2026-02-06T13:45:00.000Z,LONG,67575.24,0.015400,61313.31,TP,96.43,0.52,
1772651400000,2026-03-04T19:10:00.000Z,LONG,73870.54,0.019282,67148.00,TP,129.63,0.71,
1773709800000,2026-03-17T01:10:00.000Z,LONG,75840.88,0.004000,68809.06,TP,28.13,0.15,
1776176400000,2026-04-14T14:20:00.000Z,LONG,75608.66,0.006000,68724.19,TP,41.31,0.23,
1776431100000,2026-04-17T13:05:00.000Z,SHORT,76610,0.019850,68396.70,SL,-163.04,0.76,
1777216800000,2026-04-26T15:20:00.000Z,LONG,78083.23,0.001000,73697.26,TP,4.39,0.04,
