ts,iso,side,price,qty,setup,score,regime,atrScale,hwmScale,setup11TradeId
1682869500000,2023-04-30T15:45:00.000Z,LONG,29598.61,0.009914,S10,2,RANGE,1.416,1.000,
1682906400000,2023-05-01T02:00:00.000Z,LONG,28600.01,0.001000,agg(9),9,RANGE,0.813,1.000,
1683038700000,2023-05-02T14:45:00.000Z,LONG,28474.65,0.006605,S10,2,RANGE,0.944,1.000,
1683382500000,2023-05-06T14:15:00.000Z,LONG,28659.7,0.001066,agg(9),9,RANGE,1.066,1.000,
1683739800000,2023-05-10T17:30:00.000Z,LONG,27262.86,0.001000,agg(9),9,RANGE,0.597,1.000,
1685298600000,2023-05-28T18:30:00.000Z,SHORT,27578.17,0.001380,aggS(9),9,RANGE,1.380,1.000,
1686072600000,2023-06-06T17:30:00.000Z,SHORT,26622.4,0.001000,aggS(9),9,RANGE,0.717,1.000,
1686081600000,2023-06-06T20:00:00.000Z,SHORT,27071.98,0.001000,aggS(9),9,RANGE,0.751,1.000,
1686376800000,2023-06-10T06:00:00.000Z,LONG,25587.52,0.001000,agg(9),9,RANGE,0.767,1.000,
1686773700000,2023-06-14T20:15:00.000Z,LONG,25539.86,0.001000,agg(9),9,RANGE,0.999,1.000,
1686980700000,2023-06-17T05:45:00.000Z,LONG,26660.19,0.010264,S10,3,RANGE,1.466,1.000,
1687445100000,2023-06-22T14:45:00.000Z,LONG,29727.64,0.001000,agg(9),9,RANGE,0.780,1.000,
1687742100000,2023-06-26T01:15:00.000Z,LONG,30097.6,0.001193,agg(9),9,RANGE,1.193,1.000,
1688132700000,2023-06-30T13:45:00.000Z,LONG,29829.99,0.001000,agg(9),9,RANGE,0.669,1.000,
1688337000000,2023-07-02T22:30:00.000Z,LONG,30763.34,0.001500,S11,2,RANGE,1.500,1.000,s11_1688337000000_30763
1689360300000,2023-07-14T18:45:00.000Z,LONG,30252.86,0.009515,agg(10),10,RANGE,0.793,1.000,
1690192800000,2023-07-24T10:00:00.000Z,LONG,29256.01,0.001300,agg(9),9,RANGE,1.300,1.000,
1690404300000,2023-07-26T20:45:00.000Z,LONG,29622.7,0.001286,S11,2,RANGE,1.286,1.000,s11_1690404300000_29622
1692378900000,2023-08-18T17:15:00.000Z,LONG,25762,0.001000,agg(9),9,RANGE,0.688,1.000,
1692819900000,2023-08-23T19:45:00.000Z,LONG,26774,0.007654,S10,2,RANGE,1.093,1.000,
1693225800000,2023-08-28T12:30:00.000Z,LONG,26184.43,0.010500,S10,2,RANGE,1.500,1.000,
1693319400000,2023-08-29T14:30:00.000Z,SHORT,27256.87,0.011243,aggS(10),10,RANGE,0.937,1.000,
1693325700000,2023-08-29T16:15:00.000Z,SHORT,27707.39,0.001000,aggS(9),9,RANGE,0.550,1.000,
1694023200000,2023-09-06T18:00:00.000Z,SHORT,25872.37,0.001079,aggS(9),9,RANGE,1.079,1.000,
1694121300000,2023-09-07T21:15:00.000Z,SHORT,26344.2,0.001361,aggS(9),9,RANGE,1.361,1.000,
1697463000000,2023-10-16T13:30:00.000Z,SHORT,29215.88,0.001000,aggS(9),9,RANGE,0.696,1.000,
1697605200000,2023-10-18T05:00:00.000Z,LONG,28713.95,0.001359,S11,3,RANGE,1.359,1.000,s11_1697605200000_28713
1697772600000,2023-10-20T03:30:00.000Z,LONG,29205.29,0.001116,S11,3,RANGE,1.116,1.000,s11_1697772600000_29205
1698162300000,2023-10-24T15:45:00.000Z,LONG,33766.11,0.001000,agg(9),9,RANGE,0.462,1.000,
1698932700000,2023-11-02T13:45:00.000Z,LONG,34982.41,0.001019,agg(9),9,RANGE,1.019,1.000,
1699221600000,2023-11-05T22:00:00.000Z,LONG,34700.37,0.001310,agg(9),9,RANGE,1.310,1.000,
1699548300000,2023-11-09T16:45:00.000Z,LONG,36436.49,0.005140,agg(10),10,RANGE,0.428,1.000,
1699988400000,2023-11-14T19:00:00.000Z,LONG,35179.92,0.007017,agg(10),10,RANGE,0.585,1.000,
1700163000000,2023-11-16T19:30:00.000Z,LONG,35571.38,0.001000,agg(9),9,RANGE,0.666,1.000,
1700489700000,2023-11-20T14:15:00.000Z,LONG,36964.13,0.001261,agg(9),9,RANGE,1.261,1.000,
1701544500000,2023-12-02T19:15:00.000Z,LONG,39071,0.001372,S11,3,RANGE,1.372,1.000,s11_1701544500000_39071
1701653400000,2023-12-04T01:30:00.000Z,LONG,40723.72,0.001008,S11,3,RANGE,1.008,1.000,s11_1701653400000_40723
1701941400000,2023-12-07T09:30:00.000Z,LONG,43155.48,0.001151,agg(9),9,RANGE,1.151,1.000,
1702319400000,2023-12-11T18:30:00.000Z,LONG,40833.76,0.001000,agg(9),9,RANGE,0.660,1.000,
1702560600000,2023-12-14T13:30:00.000Z,LONG,41951.85,0.001000,agg(9),9,RANGE,0.834,1.000,
1702951200000,2023-12-19T02:00:00.000Z,SHORT,43224.09,0.001000,aggS(9),9,RANGE,0.849,1.000,
1703082600000,2023-12-20T14:30:00.000Z,SHORT,44089.66,0.001000,aggS(9),9,RANGE,0.876,1.000,
1703612700000,2023-12-26T17:45:00.000Z,LONG,41878.23,0.001000,agg(9),9,RANGE,0.924,1.000,
1704154500000,2024-01-02T00:15:00.000Z,SHORT,44555.89,0.001000,aggS(9),9,RANGE,0.998,1.000,
1704283200000,2024-01-03T12:00:00.000Z,LONG,42964.97,0.008163,agg(10),10,RANGE,0.680,1.000,
1704837600000,2024-01-09T22:00:00.000Z,LONG,45474,0.001000,agg(9),9,RANGE,0.400,1.000,
1704891600000,2024-01-10T13:00:00.000Z,LONG,44700.13,0.001000,agg(9),9,BULL,0.671,1.000,
1705073400000,2024-01-12T15:30:00.000Z,LONG,44805.73,0.001000,agg(9),9,BULL,0.680,1.000,
1705077000000,2024-01-12T16:30:00.000Z,LONG,43886.99,0.014672,agg(11),11,BULL,0.564,1.000,
1706002200000,2024-01-23T09:30:00.000Z,LONG,38976.79,0.001000,agg(9),9,RANGE,0.868,1.000,
1706269500000,2024-01-26T11:45:00.000Z,SHORT,41172.25,0.001035,aggS(9),9,RANGE,1.035,1.000,
1706736600000,2024-01-31T21:30:00.000Z,LONG,42398.7,0.001000,agg(9),9,RANGE,0.675,1.000,
1708961400000,2024-02-26T15:30:00.000Z,SHORT,52585.54,0.001294,aggS(9),9,RANGE,1.294,1.000,
1708999200000,2024-02-27T02:00:00.000Z,SHORT,55660.98,0.001000,aggS(9),9,RANGE,0.853,1.000,
1709107200000,2024-02-28T08:00:00.000Z,SHORT,58567.51,0.001237,aggS(9),9,RANGE,1.237,1.000,
1709110800000,2024-02-28T09:00:00.000Z,SHORT,59223.99,0.010302,aggS(10),10,RANGE,0.858,1.000,
